document_id,clean_text,sentiment
297,too much hype hurts even the best movies there are a bunch of fanboys out there who will fall drooling to the ground when they see a large scale cg battle in a scifi movie they dont care if there is a plot or character development just seeing the pew pews will get them goingthis is a good movie and it owes its strength to its incredible predecessor but in the second installment lost are the sound design the strong undercurrent of character buildup and the pace that got the viewer in that made you live the movie villeneuve having spent hours in dunepart building up an entire universe with dazzling believability suddenly rushes through the whole part to obviously pave the way to a new set of sequelsthere is a hectic feeling to the flow of the plot villeneuve acts as if he is eager to get to the end it is a great showoff and you can sense the pride he has in his creationcharacter development is lost here while he allows the young atreides to mature a little and discover himself he quickly turns stilgar into an almost comical caricaturized fanatic while trying to enrich the universe with some new players he wastes the good old ones unnecessarilythe visual design is beautiful to behold as ever may be it is because we have somewhat gotten familiar with them the impact is less but still therethe sound was one of the strongest aspects of part somehow i feel as if it is sacrificed here to make room for more dialogue and i think it is a great lossconclusion to my rant by any standard this is a good movie worthy of a glowing or score however compared to what it could have been it unfortunately falls short and it definitely does not deserve a,positive
298,this is the kind of cinema you only get to see one or twice in a decadeand we were fortunate enough to see great movies in first half of this decadeoppenheimer the way of the water and dune part absolutely phenomenalit is great from character development to screen time of all the actor does not dissappoint at all everything was well planned and certainly dune is going to bag all the awards this yearthis type of cinema compels us to write about it and certainly make everyone aware about a delightful experiancei an hopeful that dune part becomes a profitable venture se that we can se more of it coming in the future,positive
299,a brilliant cinema experience every bit as good as dune part incredible visuals and outstanding sound design create an immersive and frighteningly real world scifi has rarely looked or sounded betterhowever in terms of story the movie somehow felt long yet condensedrushed at the same time scenes seemed to move from one to the next because the story needed to move on not being driven by character or emotion some relationships felt underdeveloped and the story progression at times felt incohesive like someone accidentally pressed the skip to next chapter button and you feel like youve missed somethinga very good movie visually and acoustically perfect but with some story and pacing issues that had it fall short of total perfection for me,positive
300,this is without doubt an impressive visual spectacle however the story line is so thin its almost transparent given the two films add up to almost five hours if you have read the books or seen the tv mini series it wont make much sense in the way the story should be told there is no rational why spice is so valuable or how the bene gesserit are involved in the whole scheme of things and these are two of the three core tenets of the whole saga this rendition omits any explanation of the emperor spacing guild or of pauls sister aliaits sad that the story in these films is so diluted that the spectacles have no attachment,positive
301,just got back from the cinema after watching this masterpiece this and the first part are the only two films ive paid the mortgage to go and see in a large screen and they absolutely need and deserve to be seen this takes all of the expectations i had from the first part of dune and exceeded them tenfold there are some decisions made by denis villeneuve which are so jaw droppingly exquisite im not sure exactly how his announced rendition of dune messiah is going to have any room left to improve upon this this is a beautiful beautiful film which builds on itself and special mention must go to the sound design which literally shook my seat in the cinema perfect,positive
302,dune part two is an outstanding sequel that greatly outshines dune part one in every single way this film is definitely made to be seen in the cinema as the outstanding visuals translate amazingly onto the big screen the music of this film is absolutely amazing and in my opinion its one of the best soundtracks ever made the story is gripping as it is fascinating and fantastic to see the rise of paul atreides this film series seems to definitely be the lord of the rings of the s and it will be praised for generations overall a perfect film that i hope will preform well in awards season,positive
303,so whoa oh my goodness i mean like wow let me just say austin scared me i couldnt look him in the eye when i saw him and his voice was very creepy but captivated and his voice sounded like video game character kinda of and also some stellan in his voice as well i love this movie it was amazing so much wonderful work for denis you need to run not walk to watch dune in march yesgo see part in theaters march st austin performance captivating outstanding menacing creepy and will having you want to see his performance even more also austin was scarier and more menacing and twisted then when he was tex waston and more i feel like both are kind of equal but austin in dune was insane and i would love to watch it over again i am so proud of how far he has came he is so brilliant in what he does he is so good with how he portrays his characters i cant wait to see more things he does and accomplish but wow way to go austin congratulations,positive
304,whether your a fan of the novels or the s version dune is truly work of art the scenery was breathtaking and in regards to acting it was clear the actors have embraced and portrayed their characters to t in direct correlation to the novel they are portrayed in the most perfect way i admit i was weary before watching because the first one was just incredible but this does not dissapoint i can only think of other movies in history where the sequel outshined or performed on the same level of the first part and that would either be t jugement dayand of course the godfather these titles are renowned and beloved by all and quite frankly thats the direction the dune saga has broughtforth your left glued to the scream and asking what im gonna have to wait another years what if i dont live that long even if you havent seen the first film one can pick up and follow along as long as they pay attention to the narrative and direction the film is going in because the final showdown does not dissapoint and as i said prior why do i have to wait another years and here i am writing my commentary before healing to work and buying another ticket to see it on the big screen again this evening dune delivers in the opposition direction of every failed sequel and just leaves you in awe as the crdits come on screen as your left in disbelief that hours has just passed anyways trust me kiddos go see it in theatres you will find yourself in the same situation as me stuck waiting more,positive
305,i still remember where i was when the first dune movie was announced now after all these years im even more excited for whats to come before watching the movie i read many praising articles and reviews but none of them could prepare me for the reality of it dune part two delivers exactly what it promises a bold adaptation of one of the greatest novels ever written its a tragic story of extreme superstitions that can cause even the most purehearted leaders to descend into chaos the film starts with an incredible sequence showcasing the astonishing use of technology by the harkonnens and the fremens insane harmonization with their planet the fremen take down their opponents swiftly and unnoticed leaving a lasting impact on the viewer the investment into the rest of the film only increases from that moment on denis villeneuve has done it again and this time he has hit a home run collaborating with one of the greatest cinematographers of our generation greig fraser denis has produced a monumental piece of cinema it not only surpasses the previous installment in every aspect but also reinvents science fiction itself with its skillful use of practical sets lighting and digitized effects this modern cinema masterpiece serves as a definitive masterclass for anyone aspiring to be a great filmmaker although the visual and audio effects in the movie are impressive they do not distract from its main focus which is the storytelling the film follows a love story that defies all odds as paul assumes the role of the messiah chani struggles to keep her mind clear of myths and falls in love with someone who is lost not only in the desert but in his heart as well in the first act pauls character undergoes significant changes he tries to distance himself from his mothers actions by joining the fremens cause to liberate their planet from tyranny however he remains unaware that jessicas plan is already in progress despite this the first act remains a charming distraction from these developments the empire is in a state of despair as the fremen successfully destroy the harkonnen spice reserves one by one this has pushed the bene gesserit to their limits and as a result the baron has deployed his most valuable weapon feyd rautha the second act of the story mainly focuses on how to introduce a villain and make him memorable and to top it all off denis created perhaps the greatest third act in existence in the end paul finally realizes what he has to do he takes the water of life and opens his mind to such an extent that he becomes aware of the destruction he is about to cause but proceeds anyway by doing so he loses his one true love yet he stands his ground in an incredible handtohand combat and eventually to a holy war with him as an emperor once again hans zimmers astonishing otherworldly soundtrack elevates this cinematic experience to uncharted hype territories i highly recommend watching this film in mm imax print if possiblelets all hope that dune messiah will become a reality,positive
306,if a person thinks that dune is one of the best movies of all time you can trust her with your lifeif a person thinks that dune is a materpiece you can be friends with her and even marry her you are setif a person thinks that dune is a great movie you can hang out with her it will be funif a person thinks that dune is an ok movie becareful with her open your eyesif a person thinks that dune is a awful movie stay away imedially for goodif a person thinks that dune is the worst movie ever made that person needs to be in an mental facilitiesimple as that a great and precise people thermometer,positive
307,every time the characters open their mouths its cringethe film is a revisionist claptrap of herberts original gone is the chani of the book who both loved paul for himself and his prophetic and religious naturethis chani is a socialist revolutionary who only believes in power stilgar is a religious lunatic and paulthe worst nowis an opportunistic snake who uses his prophetic qualities to enact a plan of revenge that would make the count of monte cristo crawl back to his prison cell in shame and rethink his lifehowever the film is gorgeous every scene drips with beautytake what you willdune on the outside but political nonsense on the inside if that bothers you at all just remember its streamable now and you have access to the pause button,positive
308,hands down the best theater experience of my life i loved dune part one so much but part two was on another level everything was absolutely perfect i can not find one thing that bothered me whatsoever in this film you can tell everyone that worked on the film knew they were making something that will be remembered for decades and it showsthe acting set pieces score and costume design are all as good as it can get there were many moments where the cgi was so good that i honestly couldnt tell if it was practical or not i just finished reading the first book before seeing this and while there was a lot of stuff left out or changed i had no issue with it even my father who was not a fan of part one said this is a great film i hate using the term masterpiece because it is used so much nowadays but dune part two is monumental masterpiece,positive
309,ill precursor this by saying i have not read the books i am a huge denis villeneuve fan i found part one underwhelmingwhile i find there to be many issues with this film perhaps its biggest weakness imo is that i hold no emotional connection with any of the characters despite the films lengthy runtime the protagonists mother is written as incredibly annoying the villains are underused florence pughs character has likability and acts simply as a story device bardems character is ok and funny at times and brolin doesnt have a standout moment zendayas character is the sole exception to this who is the beating heart of the filmat times i also felt that chalamet despite being an amazing actor is perhaps miscast though having not read the material i cannot comment further on thisthe pacing felt off as it stays too long in places it shouldnt while sacrificing moments that could linger longer this coming from a person that enjoys long epics and slow burn films the movie looks outstanding though feels closer to a connection of rushed story beats the direction it takes with the main character also does not feel earnedperhaps the second biggest issue is that i do not totally buy into the world that has been created it feels large but empty and lacking character almost too clean and strange for the sake of it style over substance we stay for most of the time in one or two places which doesnt help there were also some weird choice of cuts and jumps in scenes that hampered the flow of the filmwith that said there are a couple of epic moments that stood out which are the whole zendaya bazooka scene and the giant worm ridingoverall the film is enjoyable however without engaging characters a believable world and pacing issues the film falls short of greatness perhaps way short,positive
310,i feel like im taking crazy pills or have missed a dose as i cannot comprehend the high praise for this sequeli adored part which introduced me to this trippy scifi and the grandeur of a farflung potential futurepart was all spectacle yelling and repetition we get it hes the chosen one marred bypoor editing im genuinely shocked they didnt start the film on giedi prime with that battle sequence beginning it there would have pulled us in to this weird scifi world and made it clear that there was some horrific villain who would be a huge threat to paul and his ambitions instead we got a slow paced intro about returning a dead body dulllackluster pacing yes theres a lot to cover but the narrative swings between too much happening and sudden lulls or a weird buildup to a climax that kind of just happens out of nowhere bang and its donethe lead timothee falls short of charisma hes genuinely trying but he seems miscastthe romance feels totally unconvincing almost as bad as that romance in attack of the clonesthe villain despite a cool appearance lacks depth yes hes psychotic and needs to constantly look up beneath a furrowed hairless brow to show us that but hes not scary or threateningmaybe i need to watch it again but i was disappointed for sure and i dont really know if its just me missing something or if everyones expectations of good films are being watered down and were forgetting that good movies get under your skin whereas this one barely made a scratch,negative
311,awarding s for me are given only to the likes of empire strikes back return of the king or raiders of the lost ark it truly must be great so to get to the plateau in my critiques reflects a certain quality and value within my little bubble of love for movies the recent say last or years output from the industry has been worse much worse than lackluster most of the the tent pole block busters have been cinematic garbage see for example the marvels and as far back as the last jedi basically most anything from disney but certainly not exclusive to disney here we have a movie created by a team free of the dei quotas and agenda driven malarkey and they have produced nothing short of a cinematic masterpiece probably the best science fiction movie of the decade ranking it up there with one of the best sequels ever constructed if you can call it that it feels more like the second half of a very long movie every aspect of this movie from the cinematography to the directing writing acting cgi sound score it is spot on perfect the amount of talent that went into this movie shows and the end product is a breath of fresh air in an otherwise decaying industry poisoned by toxic onesided politics nearly dead and left to rot i was truly emotional at the end tears running down my face not so much moved by the story which was excellent but having finally witnessed a truly great movie after years of absolute garbage the emotion stirred in me was one of relief a calming repose that great movie making has not been completely killed off and that it is still possible to make a movie that is not promoting the message or clubbing me over the head with a bunch of nonsense,positive
312,i had the pleasure of watching this movie yesterday at the swedish premiere and oh man was a mesmerized by the beauty of it allbeing honest i instantly fell in love with part one and i have probably watched it more times than what would be deemed sane or healthyso watching part two was a no brainer to me and needless to say my expectations where very highas the credits rolled i didnt want to leave my seat denis villeneuve did it again he blew my mindhe portrayed the world of dune in a way i didnt believe was possible everything is cinematically grandiose and glues you to your seat in awethe scifi elements of dune are out of this world not since the release of the first star wars have i seen so many innovative solutions to visualise it everything from the harkonnen desert suits to the mortar ships are things never seen before that excites the mind this paired up with the amazing sound effects offers a cinematic experience like no otherthe movie itself the storytelling pacing and the acting is stellar no complaints at alli might be biased but this is a must for anyone that enjoys scifi sandworms,positive
313,dune part not only surpasses the first film but elevates it not many films are able to achieve such feathans zimmer returns and somehow outdoes himself bringing us a score that rattles you in your seat memorable epic and somewhat melancholygreig fraser returns and just like hans zimmer he outdoes himself memorable cinematography that will be imprinted in my head for a long time the use of color is sublime the black and white scene is incredible job well donethe performances are all incredible zendaya is the true stand out but timothe chalamet is phenomenal he speaks with such conviction and power this young man is gonna have an incredible career his acting range is absurd but the likes of christopher waltz florence pugh javier bardem are all great but lets not forget austin freaking butler delivering a villainess performance that will be remembered for the ages menacing cruel brutal the introduction to this character is perfect you hate him but you love himthis film doesnt shy away from politics and how its used is so relevant to todays time and it also doesnt shy away from the manipulation of politics and manipulation of power and messiah like figures it dives deep into religion and its not afraid to show how it affects the charactersthere truly is so much that happens in this film and its done almost perfectly i cant think of a flaw i sat through the whole credits roll and i never do that i was just speechless with this film the third act is of the likes of the two towers of the likes of empire strikes backnone of this wouldve been achieved without denis villeneuve this man is putting together a resume that stands up to some of the greatest film makers to ever do it his direction in this film is sublime theres a scene towards the end where they specifically choose not to use the score and you feel the intensity of the fight on screen and its powerfula euphoric experience a once in a lifetime theatrical experience a film that isnt afraid to touch on subjects that some would consider taboo its simply a masterpiece through and through,positive
314,i didnt quite fully understand the meaning behind why everyone kept calling dune part two dpt epic i understand nowhaving read all the books thoroughly enjoyed dune part one dpo and then to watch a backtoback early release double feature of dpo and dpt i can say im beyond impressed impressed truly doesnt even begin to embody and sense of the granduity of dptdpt seamlessly picks up from where dpo left off creating an even more immersive experience nonetheless beyond my imaginable capabilities somehow dpt increases the meticulous level of attention and detail to the films mise n scenethe costumes once again go above and beyond im not sure how to even put it into words they looked real they fit the scenes they looked like they belongthe musical score i didnt think it could get better than dpo i stand a fool the musical score for dpt leaves you with goosebumps for almost the entirety of the runtime if it doesnt achieve an award i will truly battle the great houses myselfthe visual effects lost for words truly dont think i could encompass how good they are here youll have to lead on faith for this oneall the actors and actresses complete this film not like its their job but something they truly want to work on and truly do beyond their capabilities for and this showsthe hype is real the spice must flow the third dune must comeif you liked dpo you will lose it for dpt enough said,positive
315,dune part two is the continuation of the already excellent dune part one and im so happy to say that this movie is insane i really think this movie is amazing in every aspectstarting with the world building this was my favorite aspect from the first movie and this movie builds further on that in such excellence and in combination with the astounding cinematography i really felt like i was there on arrakis you will learn much more about the freman and their ways of life which is fascinating im still in shock and i want to go backall the performance are also so good the story builds further on all the old characters who are fleshed out even more with new complex layers to them and the new characters who are also all great especially austin butler his performance makes his character truely scary such a good villain timothee chalamet is also great is this movie and really shows the complex things paul is going thru this movie which was really cool and even scary sometimes to see unfold the same goes for all the other actors i just cant say there was a lesser performance everyone really gave there all and it showsalso the score is again incredibly good hans zimmer also builds upon the music he made for the first movie which results in an even better score which also elevates the movie to an even higher levelin conclusion this movie is a masterpiece it starts slower but thats a good thing it needs that so in that way everything keeps building upon each other which eventually explodes in one of the best climaxes i have ever seen im really still in awe and i could keep talking about how great everything is but believe me just watch the movie go to the biggest screen you can find and watch it you will be blown away this is really one of the best films of the generation thank you dennis villeneuve and everyone who worked on this movie and ill eagerly be waiting for dune messiahlong live the fighters,positive
316,i went in with high expectations and they were surpassed saw in imax in a new theatre with single laser sound designscore and visuals were so honoured by the theatre in a way ive never experienced im at a bit of a loss for words other than generational masterpiece theatrical cinematic experience like nothing ive witnessed before loved the books and they did such a wonderful job capturing the source material whats so interesting is how the book is so internal in its presentation you experience the story from the mind of the character in the film the dialogue is there to support the film which is primary here the visuals the cinematography the sound the score are all the story and the dialogue is there just to help deliver that its so complementary to the book by doing it this way by becoming the projection of what took place in your mind as you read the storywell done still riding the high it will take something truly special to replace this as my new,positive
317,theres been a lot of hyperbole and superlatives about this movie since it released while it is a solid entertaining sci fi movie labeling it the goat or anything similar to that is just people fanning out over it maybe its just the time that were living in now where people are prisoners of the moment far too often but i remember a time when it took something way more groundbreaking than what this movie offers to call it the greatest sci fi movie of all time theres really nothing special about it sure the cinematography is strong and some of the action scenes are very entertaining but theres nothing crazy innovative about this film its a sort of paint by the numbers messiah type tale the chemistry between zendaya and chalamet is really good and butler turns in a solid turn as the villain but outside of that theres nothing thats gonna etch this movie in the sands of time imo i remember when the matrix came out and seeing that in theaters and being completely mind blown by it i had never seen anything like that before it may be unfair but thatll be a standard ill hold any movie vying for best sci fi film of all time to until my last days as a film watcher this is a solid movie but dont buy into the hype temper your expectations and youll enjoy it just finedefinitely a film that is more enjoyable on a large screen with great surround sound the director and his crew set up some really great looking shots that are best enjoyed on a large screen with that said the score and visual aesthetic is very one note and drab which i get it its part of the mood and tone the director is going for but for me its very sterile and cold not an insane fun hold on to the seat of your pants type film with a rousing score that gets you hyped for the action thats unfolding before you having seen dune part one recently its not that i necessarily expected that from this movie but when i heard the goat word being thrown around it did raise my expectations of what wed see on the screenagain a fine film but nothing genre defining imo one of those that you can watch once and youll be fine with lolunlike the best of this genre where you cant wait to rewatch it over and over and over again where the action is unlike anything youve ever seen the characters are rich and layered and likable figures the score is fun and captivating even if its a dark one you go and tell everyone that they need to watch this movie asap in my book thats the true definition of any films that look to call themselves the greatest sci fi film of all time,positive
318,after i read the amazing reviews i kept my expectations low for not being disappointed it was blow minding if this movie wont receive an oscar for best cinematography the oscar can be cancelled all actors are amazing but timothee deserves an oscar after seeing him in wonka and then in this i think he is the most versatile actor at this time same thing about austin you wont recognise him here zendaya interprets one of the most powerful and badass female characters of all time in the most amazing way and she is perfect love her there is no one bad thing i can say about this movie but i think we need more kind of these movies dont miss it for anything in the world and by the way the imax really worth it,positive
319,whats all the hype about i dont usually write reviews but this movie is quite overrated im a fan of games i didnt read the books but this movie is definitely worse than the first one which i would rate a maximum of which is pretty good the second part is one movie clich after another not to mention the poor acting can we expect the same outcome as game of thrones well this one didnt meet my expectations but they were set pretty high after the first movie and all the buzz about the second one i would say this is good for streaming services it could have been an hour shorter and possibly you wouldnt lose anything from the story,positive
320,very disappointing if you are a fan of the actual story that frank herbert wrote they deviated way too far from the story and with the character chani it was so bad that she is nothing like the character in the books i have know idea what the screen writers and director was thinkingnow alia what the heck was that alia a very key character from the books isnt ever even born by the end she is a major part of the end of the first trilogy the stories that this movie was supposed to be based on unbelievablethe ending was also changed from that particular book and left in such a tattered mess i dont see how they could ever do the next story and have it resemble what frank herbert wrote it was just awful in the endi have to agree with a lot of reviews that mention how the movie was rushed because it very much was especially the ending they probably should have split this up into two movies and took the time to develop the story i wonder how much the lack of chemistry between the two main characters played into why this movie was rushed those two may be decent actors in other things but they were not good in this especially the actress that plays chani she was awfulat the end of the day the scify channel version is the best and it is not even close because they actually liked dune as frank herbert wrote it and overall stuck to his story this new version is terrible david linch can celebrate in that at least,negative
321,it was a packed house for the february fan premiere and the film did not disappointsince the first film several like myself have read the books and now were going to compare because thats what happens when an ip gets famous ie most of us didnt compare got season to asoiaf when we first watched italia is not in the film at all except as a fetus who speaks to jessica so of course she doesnt kill the baron it actually works out from a filmmaking point good luck finding a child who could do justice to the role even if you age her upjessica in my opinion becomes the villain after drinking the water of life she essentially manipulates paul into become the mahdi it was previously ambiguous as to her birthing a son and by extension the kwizatch haderach was due to love or vanity this would almost now appear to be the latter again just my opinion but i dont believe the water changed her more likely it awakened a dormant ambitionchani is by far the most improved character from the books with all respect to frank herbert she didnt really do much she was the love interest and ultimately the mother of the tyrant and that pretty much sums up her relevance in the dune saga she is still all that of course but while she loves paul shes an outspoken cynic concerning him being a messiah this was a welcome changestilgar is exactly what he was at the end of the first book but all that throughout i am mildly disappointed nevertheless he is the most comedic characterpaul kills the baron chani breaks up with him kinda the door is wide open for part those are the most significant changes from the book i would encourage anyone to watch it and not allow these to detract from your enjoymenteveryone did a great job on the film as a whole and of course its a,positive
322,id suggest revisiting the first movie because this sequel picks up right where we left off in the dune universe from the beginning youre thrust back into the chaotic unpredictable and perilous world of arrakis the action is swift and meticulously planned keeping you engaged from start to finish what i appreciated about the first film carries over seamlessly into the sequel despite being a scifi movie it doesnt feel like one even without the scifi action and special effects it remains a compelling immersive and grounded storytelling experience clocking in at hours and odd minutes the movie flies by with not a single wasted moment the narrative flows effortlessly maintaining organized chaos and hitting all the necessary beats along the way given that its a sequel you might expect a dropoff but thats simply not the case every actor on screen from timothy and zendaya to josh brolin and austin butler along with the other talented individuals delivered exceptional performances each of them was on point and effectively brought the story to life another standout aspect is hans zimmers score each note propels the narrative with intent effectively enhancing the atmosphere of every scene zimmers mastery is evident in his ability to employ the same theme across various emotional contexts while weve heard the theme repeatedly this film allows us to experience it in different emotional nuances depending on the onscreen events while its still early in this film should definitely be considered an oscar contender next year dune part effectively concludes the first of six books in the expansive dune saga part of me is eager to see the next installment on screen but if this marks the end im good with that too considering the saga gets a little weird from here a big thank you to amc theatres and wb for the opportunity to experience this in imax tonight i highly recommend a premium format because the immersive sound truly enhances the viewing experience im already looking forward to watching this again great flick,positive
323,from start to end the world this movie is bringing to life will leave your eyes wide open throughout the movie if youre a scifi lover there wont be a second you wont be left in awe watching the movie was like going through best moments of your own life when you think that this is the climax there comes another the soundtrack will leave you a heart full of emotions when you leave the theatre it doesnt fail to deliver the universe it promiseddunei was just the staircase after you watch this you will be at the platform where the throne sits look forward to watch the next movie from the throne,positive
324,a love story to the original trilogythis is how you make a movie out of a book for all future movie makers out there while there are divergencies from the books it thematically follows and still captures the heart of the corruption of power religion ecological transformation ethics war and violence that frank herbert played on in his masterpiece the multiple shots sometimes only a few seconds that paid tribute to conversations and interplay within the books was excellent i wish they had had time to include the full story given how beautifully choregraphed each scene is but its already almost hours and somethings just have to be cutit impressively does all this while still spending enough time on character building and capturing the plan within a plan within a plan just well done i hope there will be an extended trilogy cut in the future perhaps someone will even make the sequelsprequels in the future,positive
325,i thought dune part was amazing but denis villeneuve cranked out a masterpiece with part every moment was spellbinding the cinematography epic the acting authentic and the world building was astonishingthey made changes form the book sure but the changes they made fit in with the tone of the narrative zendayas chani is strong yet feminine and you feel both her growth and her struggle throughout the film timothe chalamet shines as paul he conveys a quiet strength throughout the film and you believe his struggles as well as his ascent to leadership he earns it and owns it the rest of the cast brings their best to the film every character feels well livedinthe film is truly visually breathtaking so many wonderful directing choices i love that villeneuve allows us to linger in scenes to extend the feeling of each world as you visit them you feel like you have a sense for the dune universe simply though the visual and sound spaceshollywood this is what we want heroic masculine and feminine characters good writing and pacing authenticity this is how you do it right dune should be a guidebook for the rest of the industry,positive
326,watched it first day and honestly i expected the movie would be great but my god i was wrong this was beyond greatness the movie was literally a masterpiece i went to the theater expecting the movie to be or but this was a i loved everything about this movie and i wish i could watch it again for the first time and you guys those who havent watched it yet have that privilege do watch it in a theater because this is the best theater experience of the decade watch it in k dolby atmos or atleast watch it in a theater with good sound and audio quality this movie is a goosebump fest,positive
327,while i will say it was vibrant and visually captivating and also very well done soundtrack however the story was dulled by acting i didnt find believable it was similar to an over budget day time soap overall pretty good i wouldnt say its an adult film and main characters had more of a highschool teenie bop feel hard to believe as an adult those were warriors or leaders supporting cast was amazing except christopher walken sounded like he stepped out of a newyork deli in the s zero clue how that wasnt supposed to stick out everyone had different accents and his was outrageous,positive
328,i had instants of goosebumps running through my body more times than i can count it was an absolute thrill to watch everything is carefully executed from the music to the visuals it is all pure magic and so beautiful to watch the dynamics of power beliefs and the environment makes the backdrop for the plot so captivating the movie was so magical that i completely lost track of time and thus feared that the movie would suddenly end because i could not get enough of it the movie was everything it needed to be and was a perfect adaptation that will probably become one of my all time favorites,positive
329,and were back following theexperimentthat was s dune denis villanueve is back with the sequel like the first one this is a perfectly crafted piece of sci fi filmmaking however unlike the first dune dune is not a total snoozer as things actually happen on screen this time around the shots the music the sound design are all top notchi still find myself baffled by these movies again i am the super ultimate target audience for weird sci fi stuff and i love most of denis villanueves work even with all of the whiz bang taking place in dune i still found myself yawning at times i cant keep track of any of the characters names i have only a basic understanding of who is doing what i am not mesmerised by timothee chalamet nor zendayas acting they both seem kind of wooden to me also by about the th or th time they push in for a super close up on zendayas weird face and linger there for what seemed like hours on end i began to grow wearyi dont know i think i must be the problem everyone else in the world seems to love these same movies so i must be some sort of freak or miscreantto me this is an amped up version of the first dune more battles and action more sand more death its just more,positive
330,omg where do i even begin how can you transform a great book with great former adaptations and turn it into a boring af waste of timethere is no tension no convincing acting and the pace will make you fall asleepthe casting was made with pleasing the crowds in mind and not with the story timothy has the magnetism of plastic and the pairing with zendaya feels forced and boringthe magical and mystical elements of the book are completely missing or underplayed as are the political motivations there is no pending feelings of doomalso it feels more like a movie set in ancient arabia rather than in space in summary save yourself time and money and watch the version instead,positive
331,contrasts with marvel and star wars in that it takes itself completely seriously there is no humor which allows the intensity to build and lets the world building be immersive similar in some ways to batman movies like the batman or the dark knightit was a nice experience i gave it a because asking for more from a movie is unreasonablevery fast paced similar to infinity war full of action there isnt much in the way of day to day scenes at hr i dont see any way around that in moviethe chosen one motif seems well suited to cinema since it allows telling a big story while following one man but its definitely disconnected from reality,positive
332,vijay sir with all preboards retest viva farewell and upcoming board exam stress this need to be said just keep on going abhi rukne ka time nai you can do it vijay sir tomorrow to batch to batch topic first minutes collateral security and then v practice from sample paper sheet vijay sir if v sheet have been solved you can miss the session vijay sir students who are serious have completed v sheet please write this paper at home time limit to minutes marks vijay sir all students who have received hall ticket do give me xerox copy or atleast dm me image vijay sir only english session tomorrow class open for practice from to from to we keep th cbse session and there is lot of parking issues so if you wish to come for practice after please come without vehicleavoid parking in common parking till construction work is going on vijay sir those who are giving entro exam time pm to pm vijay sir good morning there wont be any sessions till english exam will revise ratio and cashflow later currently please focus on english and practice v and v vijay sir i will be at class for doubts still many students have doubts in fundamental death share cap forfeiture please clear your concepts till th or th after that completely focus on english vijay sir please try to finish all ead papers of accounts atleast part a which contains v and v,positive
333,never before have i been this excited for the release of a film when the delay from november to march for part twos release happened it devastated me but now it is here i was able to see it almost a week early and it did not disappoint i am an avid fan of the books so i will say that most of my criticisms or slight complaints come from wishing to see scenes and characters from the book adapted on to screen but at the same time most if not all of these changes make for a better paced and probably less cluttered final productthe cinematography once again is stunning the gorgeous sands of arrakis mixed with the colors of different times of day the larger than life presence of the sandworms the dismal and brutal gray of giedi prime the various sietches and places of the fremen all of it looks gorgeous the hanz zimmer score returning capturing perfectly the atmosphere of this desert planet loved all of itthe performances of characters evolve most notably timothee as he becomes paul muadib and lady jessica as she takes on role of reverend mother zendaya as chani gives muchneeded depth to that character from the book javier as stilgar was incredible each performance was fantastic dave bautista also shines in his role as beast rabban i could go on and on about each performance but another well done aspect of this filmif you enjoyed dune part one in any capacity and long to see where the story of paul atreides and the harkonnens goes from here you will definitely enjoy this film as the pacing feels very quick and action packed and the worldbuilding from part one makes it all pay off hereso many scenes from this part two took my breath away and i think denis did an incredible job adapting the second half of this epic story despite several changes from the source material i will definitely see this film again and again so i can relive this incredible cinematic experience and if you havent already definitely give the books a try and i look forward to the next chapter dune messiah,positive
334,dune and are the greatest works in cinema history let me explain dune is based on frank herberts scifi novel but in this combo it speaks about politics the use of religion as a political tool for manipulating the masses it delves into ecology and within all that it intertwines the romance of paul atreides and chani which challenges politics and the empire its a story that demands an extremely complex adaptation for a film that combining both parts runs around minutes but denis villeneuve managed to capture the essence of frank herberts literary work and gave us the best scifi film in history,positive
